antecedents,consequents,support,confidence,lift
"Product 23, Product 30","Product 57, Product 6, Product 82",0.01,1.0,100.0
"Product 30, Product 57","Product 23, Product 6, Product 82",0.01,1.0,100.0
"Product 23, Product 6, Product 82","Product 30, Product 57",0.01,1.0,100.0
"Product 57, Product 6, Product 82","Product 23, Product 30",0.01,1.0,100.0
"Product 30, Product 6, Product 82","Product 23, Product 57",0.01,1.0,100.0
"Product 23, Product 57, Product 82","Product 30, Product 6",0.01,1.0,100.0
"Product 23, Product 30, Product 82","Product 57, Product 6",0.01,1.0,100.0
"Product 68, Product 79","Product 28, Product 49, Product 62",0.01,1.0,100.0
"Product 13, Product 81","Product 100, Product 4",0.01,1.0,100.0
"Product 30, Product 57, Product 82","Product 23, Product 6",0.01,1.0,100.0
"Product 23, Product 57, Product 6","Product 30, Product 82",0.01,1.0,100.0
"Product 23, Product 30, Product 6","Product 57, Product 82",0.01,1.0,100.0
"Product 30, Product 57, Product 6","Product 23, Product 82",0.01,1.0,100.0
"Product 33, Product 78","Product 58, Product 84, Product 87",0.01,1.0,100.0
"Product 58, Product 87","Product 33, Product 78, Product 84",0.01,1.0,100.0
"Product 58, Product 78","Product 33, Product 84, Product 87",0.01,1.0,100.0
"Product 78, Product 87","Product 33, Product 58, Product 84",0.01,1.0,100.0
"Product 33, Product 58, Product 84","Product 78, Product 87",0.01,1.0,100.0
"Product 33, Product 84, Product 87","Product 58, Product 78",0.01,1.0,100.0
"Product 33, Product 78, Product 84","Product 58, Product 87",0.01,1.0,100.0
"Product 58, Product 84, Product 87","Product 33, Product 78",0.01,1.0,100.0
"Product 78, Product 84, Product 87","Product 33, Product 58",0.01,1.0,100.0
"Product 33, Product 58, Product 87","Product 78, Product 84",0.01,1.0,100.0
"Product 58, Product 93","Product 24, Product 44",0.01,1.0,100.0
"Product 44, Product 93","Product 24, Product 58",0.01,1.0,100.0
"Product 44, Product 58","Product 24, Product 93",0.01,1.0,100.0
"Product 24, Product 93","Product 44, Product 58",0.01,1.0,100.0
"Product 24, Product 58","Product 44, Product 93",0.01,1.0,100.0
"Product 49, Product 62","Product 28, Product 68",0.01,0.5,50.0
"Product 24, Product 58, Product 93",Product 44,0.01,1.0,50.0
"Product 58, Product 78, Product 87","Product 33, Product 84",0.01,1.0,50.0
"Product 33, Product 84","Product 58, Product 78, Product 87",0.01,0.5,50.0
"Product 23, Product 57, Product 6, Product 82",Product 30,0.01,1.0,50.0
"Product 23, Product 30, Product 57","Product 6, Product 82",0.01,1.0,50.0
Product 44,"Product 24, Product 58, Product 93",0.01,0.5,50.0
"Product 16, Product 28, Product 43, Product 62",Product 55,0.01,1.0,50.0
"Product 16, Product 43, Product 55","Product 28, Product 62",0.01,1.0,50.0
Product 37,"Product 35, Product 64",0.01,1.0,50.0
"Product 28, Product 79","Product 49, Product 62",0.01,1.0,50.0
"Product 28, Product 62","Product 49, Product 79",0.01,0.5,50.0
"Product 86, Product 96",Product 77,0.01,1.0,50.0
Product 77,"Product 86, Product 96",0.01,0.5,50.0
Product 9,Product 89,0.01,1.0,50.0
Product 89,Product 9,0.01,0.5,50.0
"Product 15, Product 71","Product 42, Product 94",0.01,1.0,50.0
"Product 56, Product 65, Product 87",Product 91,0.01,1.0,50.0
"Product 24, Product 58, Product 86",Product 44,0.01,1.0,50.0
"Product 49, Product 62","Product 28, Product 68, Product 79",0.01,0.5,50.0
"Product 28, Product 62","Product 49, Product 68, Product 79",0.01,0.5,50.0
"Product 18, Product 31","Product 42, Product 62, Product 90",0.01,0.5,50.0
"Product 42, Product 62, Product 90","Product 18, Product 31",0.01,1.0,50.0
"Product 28, Product 43, Product 55","Product 16, Product 62",0.01,1.0,50.0
"Product 28, Product 62","Product 49, Product 68",0.01,0.5,50.0
"Product 28, Product 68","Product 49, Product 62",0.01,1.0,50.0
Product 44,"Product 22, Product 23",0.01,0.5,50.0
"Product 22, Product 60",Product 44,0.01,1.0,50.0
Product 44,"Product 22, Product 60",0.01,0.5,50.0
"Product 64, Product 96",Product 37,0.01,0.5,50.0
"Product 28, Product 62","Product 68, Product 79",0.01,0.5,50.0
"Product 68, Product 79","Product 28, Product 62",0.01,1.0,50.0
"Product 49, Product 79","Product 28, Product 62",0.01,1.0,50.0
Product 37,"Product 35, Product 7",0.01,1.0,50.0
Product 55,"Product 77, Product 86, Product 96",0.01,0.5,50.0
Product 77,"Product 55, Product 86, Product 96",0.01,0.5,50.0
Product 55,"Product 77, Product 96",0.01,0.5,50.0
Product 77,"Product 55, Product 96",0.01,0.5,50.0
"Product 12, Product 61","Product 14, Product 64",0.01,0.5,50.0
"Product 14, Product 64","Product 12, Product 61",0.01,1.0,50.0
"Product 49, Product 68","Product 28, Product 62",0.01,1.0,50.0
Product 44,"Product 24, Product 58, Product 86",0.01,0.5,50.0
Product 55,"Product 16, Product 28, Product 43, Product 62",0.01,0.5,50.0
Product 43,"Product 16, Product 28, Product 55, Product 62",0.01,0.5,50.0
"Product 16, Product 28, Product 55, Product 62",Product 43,0.01,1.0,50.0
Product 95,"Product 24, Product 74, Product 78",0.01,0.5,50.0
"Product 56, Product 87","Product 65, Product 91",0.01,1.0,50.0
"Product 65, Product 91","Product 56, Product 87",0.01,0.5,50.0
Product 91,"Product 56, Product 65, Product 87",0.01,0.5,50.0
"Product 33, Product 65, Product 87",Product 91,0.01,1.0,50.0
"Product 16, Product 62","Product 28, Product 43, Product 55",0.01,0.5,50.0
"Product 28, Product 62","Product 16, Product 43, Product 55",0.01,0.5,50.0
"Product 33, Product 84","Product 12, Product 35, Product 7",0.01,0.5,50.0
"Product 35, Product 7","Product 12, Product 33, Product 84",0.01,0.5,50.0
"Product 33, Product 87","Product 56, Product 91",0.01,0.5,50.0
"Product 56, Product 91","Product 33, Product 87",0.01,1.0,50.0
Product 63,"Product 84, Product 86",0.01,0.5,50.0
Product 37,"Product 64, Product 96",0.01,1.0,50.0
"Product 55, Product 96",Product 77,0.01,1.0,50.0
"Product 77, Product 96",Product 55,0.01,1.0,50.0
"Product 64, Product 77",Product 55,0.01,1.0,50.0
Product 55,"Product 64, Product 77",0.01,0.5,50.0
"Product 49, Product 62","Product 28, Product 79",0.01,0.5,50.0
"Product 58, Product 86, Product 93",Product 44,0.01,1.0,50.0
Product 91,"Product 33, Product 65, Product 87",0.01,0.5,50.0
"Product 33, Product 56, Product 87",Product 91,0.01,1.0,50.0
"Product 56, Product 65","Product 33, Product 87",0.01,1.0,50.0
"Product 33, Product 87","Product 56, Product 65",0.01,0.5,50.0
"Product 3, Product 35, Product 49, Product 56",Product 75,0.01,1.0,50.0
"Product 3, Product 49, Product 75","Product 35, Product 56",0.01,1.0,50.0
"Product 12, Product 33, Product 84","Product 35, Product 7",0.01,1.0,50.0
"Product 12, Product 35, Product 7","Product 33, Product 84",0.01,1.0,50.0
Product 75,"Product 3, Product 35, Product 49, Product 56",0.01,0.5,50.0
"Product 24, Product 58, Product 86, Product 93",Product 44,0.01,1.0,50.0
Product 88,"Product 7, Product 70",0.01,0.5,50.0
"Product 86, Product 96",Product 55,0.01,1.0,50.0
Product 55,"Product 86, Product 96",0.01,0.5,50.0
"Product 64, Product 86",Product 77,0.01,1.0,50.0
Product 77,"Product 64, Product 86",0.01,0.5,50.0
"Product 55, Product 86",Product 77,0.01,1.0,50.0
"Product 77, Product 86",Product 55,0.01,1.0,50.0
Product 55,"Product 77, Product 86",0.01,0.5,50.0
"Product 35, Product 7","Product 37, Product 64",0.01,0.5,50.0
"Product 37, Product 7","Product 35, Product 64",0.01,1.0,50.0
"Product 84, Product 86",Product 63,0.01,1.0,50.0
"Product 7, Product 96","Product 35, Product 64",0.01,1.0,50.0
Product 77,"Product 55, Product 86",0.01,0.5,50.0
"Product 64, Product 86",Product 55,0.01,1.0,50.0
Product 55,"Product 64, Product 86",0.01,0.5,50.0
"Product 55, Product 64",Product 77,0.01,1.0,50.0
Product 88,"Product 70, Product 81",0.01,0.5,50.0
"Product 27, Product 7",Product 88,0.01,1.0,50.0
"Product 27, Product 70",Product 88,0.01,1.0,50.0
Product 77,"Product 55, Product 64",0.01,0.5,50.0
"Product 33, Product 56, Product 65",Product 91,0.01,1.0,50.0
"Product 33, Product 56","Product 65, Product 91",0.01,1.0,50.0
"Product 65, Product 91","Product 33, Product 56",0.01,0.5,50.0
"Product 35, Product 56","Product 3, Product 49, Product 75",0.01,0.5,50.0
"Product 6, Product 82","Product 30, Product 57",0.01,0.5,50.0
Product 44,"Product 58, Product 86, Product 93",0.01,0.5,50.0
Product 44,"Product 23, Product 60",0.01,0.5,50.0
"Product 100, Product 82",Product 52,0.01,1.0,50.0
Product 52,"Product 100, Product 82",0.01,0.5,50.0
"Product 22, Product 23",Product 44,0.01,1.0,50.0
"Product 35, Product 64","Product 37, Product 7",0.01,0.5,50.0
"Product 37, Product 64","Product 35, Product 7",0.01,1.0,50.0
Product 91,"Product 33, Product 56, Product 65",0.01,0.5,50.0
Product 91,"Product 33, Product 56, Product 87",0.01,0.5,50.0
"Product 27, Product 7, Product 70, Product 81",Product 88,0.01,1.0,50.0
"Product 55, Product 77, Product 86","Product 64, Product 96",0.01,1.0,50.0
"Product 64, Product 96","Product 55, Product 77, Product 86",0.01,0.5,50.0
"Product 11, Product 23","Product 39, Product 79",0.01,0.5,50.0
"Product 20, Product 65, Product 70",Product 98,0.01,1.0,50.0
"Product 65, Product 70, Product 98",Product 20,0.01,1.0,50.0
Product 88,"Product 27, Product 7, Product 70, Product 81",0.01,0.5,50.0
"Product 55, Product 64, Product 86, Product 96",Product 77,0.01,1.0,50.0
"Product 64, Product 77, Product 86, Product 96",Product 55,0.01,1.0,50.0
Product 44,"Product 24, Product 58, Product 86, Product 93",0.01,0.5,50.0
"Product 37, Product 7, Product 96","Product 35, Product 64",0.01,1.0,50.0
"Product 37, Product 64, Product 96","Product 35, Product 7",0.01,1.0,50.0
"Product 35, Product 37, Product 7","Product 64, Product 96",0.01,1.0,50.0
"Product 7, Product 81",Product 88,0.01,1.0,50.0
Product 88,"Product 7, Product 81",0.01,0.5,50.0
"Product 7, Product 70",Product 88,0.01,1.0,50.0
"Product 27, Product 81",Product 88,0.01,1.0,50.0
Product 88,"Product 27, Product 81",0.01,0.5,50.0
"Product 70, Product 81",Product 88,0.01,1.0,50.0
"Product 22, Product 64",Product 88,0.01,1.0,50.0
Product 88,"Product 27, Product 70",0.01,0.5,50.0
"Product 64, Product 96","Product 35, Product 37, Product 7",0.01,0.5,50.0
"Product 46, Product 52","Product 16, Product 62",0.01,1.0,50.0
Product 52,"Product 16, Product 46, Product 62",0.01,0.5,50.0
"Product 12, Product 61","Product 14, Product 29, Product 64",0.01,0.5,50.0
Product 74,Product 95,0.01,1.0,50.0
Product 95,Product 74,0.01,0.5,50.0
"Product 14, Product 29, Product 64","Product 12, Product 61",0.01,1.0,50.0
"Product 23, Product 60",Product 44,0.01,1.0,50.0
"Product 57, Product 6, Product 82",Product 30,0.01,1.0,50.0
"Product 42, Product 62","Product 18, Product 31",0.01,1.0,50.0
"Product 18, Product 31","Product 42, Product 62",0.01,0.5,50.0
Product 20,"Product 65, Product 70, Product 98",0.01,0.5,50.0
Product 98,"Product 20, Product 65, Product 70",0.01,0.5,50.0
"Product 39, Product 79","Product 11, Product 23",0.01,1.0,50.0
"Product 43, Product 51, Product 71, Product 78",Product 89,0.01,1.0,50.0
"Product 51, Product 71, Product 78, Product 89",Product 43,0.01,1.0,50.0
Product 55,"Product 64, Product 77, Product 86, Product 96",0.01,0.5,50.0
Product 77,"Product 55, Product 64, Product 86, Product 96",0.01,0.5,50.0
"Product 15, Product 48","Product 34, Product 57, Product 93",0.01,0.5,50.0
Product 43,"Product 51, Product 71, Product 78, Product 89",0.01,0.5,50.0
"Product 37, Product 7","Product 64, Product 96",0.01,1.0,50.0
"Product 64, Product 96","Product 37, Product 7",0.01,0.5,50.0
"Product 36, Product 64",Product 88,0.01,1.0,50.0
Product 88,"Product 36, Product 64",0.01,0.5,50.0
Product 21,"Product 35, Product 64",0.01,1.0,50.0
Product 30,"Product 57, Product 6, Product 82",0.01,0.5,50.0
"Product 64, Product 96","Product 55, Product 77",0.01,0.5,50.0
Product 55,"Product 64, Product 77, Product 96",0.01,0.5,50.0
Product 77,"Product 55, Product 64, Product 96",0.01,0.5,50.0
"Product 55, Product 86, Product 96",Product 77,0.01,1.0,50.0
Product 88,"Product 22, Product 64",0.01,0.5,50.0
"Product 22, Product 36",Product 88,0.01,1.0,50.0
Product 88,"Product 22, Product 36",0.01,0.5,50.0
"Product 64, Product 96","Product 35, Product 37",0.01,0.5,50.0
"Product 35, Product 64","Product 7, Product 96",0.01,0.5,50.0
"Product 35, Product 64","Product 37, Product 96",0.01,0.5,50.0
"Product 62, Product 90","Product 18, Product 31",0.01,1.0,50.0
"Product 18, Product 31","Product 62, Product 90",0.01,0.5,50.0
Product 5,"Product 2, Product 96",0.01,0.5,50.0
"Product 2, Product 27",Product 5,0.01,1.0,50.0
"Product 30, Product 57","Product 6, Product 82",0.01,1.0,50.0
Product 88,"Product 27, Product 7",0.01,0.5,50.0
Product 89,"Product 43, Product 51, Product 71, Product 78",0.01,0.5,50.0
"Product 35, Product 7","Product 37, Product 64, Product 96",0.01,0.5,50.0
"Product 35, Product 64","Product 37, Product 7, Product 96",0.01,0.5,50.0
Product 66,"Product 14, Product 17, Product 49",0.01,0.5,50.0
"Product 24, Product 74, Product 78",Product 95,0.01,1.0,50.0
"Product 14, Product 17, Product 49",Product 66,0.01,1.0,50.0
"Product 3, Product 49, Product 56",Product 75,0.01,1.0,50.0
Product 52,"Product 16, Product 46, Product 48, Product 62",0.01,0.5,50.0
"Product 16, Product 46, Product 48, Product 62",Product 52,0.01,1.0,50.0
"Product 34, Product 57, Product 93","Product 15, Product 48",0.01,1.0,50.0
"Product 23, Product 57","Product 6, Product 82",0.01,1.0,50.0
"Product 29, Product 62",Product 32,0.01,1.0,50.0
Product 32,"Product 29, Product 62",0.01,0.5,50.0
"Product 35, Product 64",Product 21,0.01,0.5,50.0
"Product 42, Product 90","Product 18, Product 31",0.01,1.0,50.0
"Product 77, Product 86, Product 96",Product 55,0.01,1.0,50.0
Product 59,"Product 3, Product 58, Product 83",0.01,0.5,50.0
"Product 35, Product 56","Product 3, Product 49",0.01,0.5,50.0
"Product 3, Product 35, Product 49",Product 75,0.01,1.0,50.0
Product 75,"Product 3, Product 49, Product 56",0.01,0.5,50.0
"Product 16, Product 62","Product 46, Product 48, Product 52",0.01,0.5,50.0
"Product 33, Product 56, Product 65, Product 87",Product 91,0.01,1.0,50.0
"Product 46, Product 48, Product 52","Product 16, Product 62",0.01,1.0,50.0
Product 52,"Product 16, Product 46, Product 48",0.01,0.5,50.0
"Product 3, Product 49","Product 35, Product 56",0.01,1.0,50.0
Product 98,"Product 20, Product 65",0.01,0.5,50.0
Product 66,"Product 36, Product 46",0.01,0.5,50.0
"Product 22, Product 23, Product 60",Product 44,0.01,1.0,50.0
"Product 64, Product 86, Product 96",Product 55,0.01,1.0,50.0
Product 30,"Product 23, Product 57, Product 6",0.01,0.5,50.0
Product 5,"Product 2, Product 27",0.01,0.5,50.0
"Product 27, Product 96",Product 5,0.01,1.0,50.0
Product 5,"Product 27, Product 96",0.01,0.5,50.0
"Product 20, Product 70",Product 98,0.01,1.0,50.0
"Product 70, Product 98",Product 20,0.01,1.0,50.0
Product 20,"Product 70, Product 98",0.01,0.5,50.0
"Product 65, Product 91","Product 33, Product 56, Product 87",0.01,0.5,50.0
Product 98,"Product 20, Product 70",0.01,0.5,50.0
"Product 65, Product 70",Product 98,0.01,1.0,50.0
"Product 33, Product 56, Product 87","Product 65, Product 91",0.01,1.0,50.0
"Product 56, Product 65, Product 91","Product 33, Product 87",0.01,1.0,50.0
"Product 16, Product 62","Product 48, Product 52",0.01,0.5,50.0
"Product 41, Product 56",Product 10,0.01,1.0,50.0
"Product 49, Product 75","Product 35, Product 56",0.01,1.0,50.0
"Product 2, Product 96",Product 5,0.01,1.0,50.0
Product 77,"Product 67, Product 87",0.01,0.5,50.0
"Product 18, Product 31","Product 42, Product 90",0.01,0.5,50.0
"Product 36, Product 46",Product 66,0.01,1.0,50.0
"Product 35, Product 56","Product 49, Product 75",0.01,0.5,50.0
Product 75,"Product 35, Product 49, Product 56",0.01,0.5,50.0
"Product 23, Product 57",Product 30,0.01,1.0,50.0
Product 30,"Product 23, Product 57",0.01,0.5,50.0
"Product 23, Product 82",Product 30,0.01,1.0,50.0
Product 75,"Product 3, Product 35, Product 49",0.01,0.5,50.0
"Product 23, Product 6",Product 30,0.01,1.0,50.0
Product 30,"Product 23, Product 6",0.01,0.5,50.0
Product 98,"Product 65, Product 70",0.01,0.5,50.0
Product 89,"Product 43, Product 78",0.01,0.5,50.0
"Product 51, Product 78",Product 89,0.01,1.0,50.0
"Product 6, Product 82","Product 23, Product 57",0.01,0.5,50.0
Product 43,"Product 71, Product 89",0.01,0.5,50.0
Product 89,"Product 43, Product 71",0.01,0.5,50.0
"Product 43, Product 51",Product 89,0.01,1.0,50.0
"Product 51, Product 89",Product 43,0.01,1.0,50.0
Product 43,"Product 51, Product 89",0.01,0.5,50.0
Product 89,"Product 43, Product 51",0.01,0.5,50.0
"Product 43, Product 78",Product 89,0.01,1.0,50.0
"Product 35, Product 37","Product 64, Product 96",0.01,1.0,50.0
"Product 37, Product 96","Product 35, Product 64",0.01,1.0,50.0
"Product 65, Product 70",Product 20,0.01,1.0,50.0
Product 20,"Product 65, Product 70",0.01,0.5,50.0
Product 91,"Product 33, Product 56, Product 65, Product 87",0.01,0.5,50.0
"Product 20, Product 65",Product 98,0.01,1.0,50.0
"Product 48, Product 52","Product 16, Product 62",0.01,1.0,50.0
"Product 57, Product 6",Product 30,0.01,1.0,50.0
Product 30,"Product 57, Product 6",0.01,0.5,50.0
"Product 57, Product 82",Product 30,0.01,1.0,50.0
"Product 35, Product 7","Product 37, Product 96",0.01,0.5,50.0
"Product 37, Product 96","Product 35, Product 7",0.01,1.0,50.0
"Product 67, Product 87",Product 77,0.01,1.0,50.0
"Product 77, Product 87",Product 67,0.01,1.0,50.0
Product 67,"Product 77, Product 87",0.01,0.5,50.0
"Product 54, Product 82","Product 4, Product 64",0.01,0.5,50.0
"Product 4, Product 64","Product 54, Product 82",0.01,1.0,50.0
"Product 58, Product 71, Product 73",Product 45,0.01,1.0,50.0
Product 77,"Product 64, Product 86, Product 96",0.01,0.5,50.0
"Product 55, Product 64, Product 86",Product 77,0.01,1.0,50.0
"Product 71, Product 78",Product 89,0.01,1.0,50.0
Product 89,"Product 71, Product 78",0.01,0.5,50.0
"Product 55, Product 86","Product 64, Product 96",0.01,1.0,50.0
"Product 64, Product 96","Product 55, Product 86",0.01,0.5,50.0
Product 55,"Product 64, Product 86, Product 96",0.01,0.5,50.0
"Product 55, Product 64, Product 96",Product 77,0.01,1.0,50.0
"Product 64, Product 77, Product 96",Product 55,0.01,1.0,50.0
"Product 55, Product 77","Product 64, Product 96",0.01,1.0,50.0
"Product 78, Product 89",Product 43,0.01,1.0,50.0
Product 30,"Product 57, Product 82",0.01,0.5,50.0
"Product 35, Product 49, Product 56",Product 75,0.01,1.0,50.0
"Product 3, Product 35, Product 56",Product 75,0.01,1.0,50.0
"Product 3, Product 75","Product 35, Product 56",0.01,1.0,50.0
Product 30,"Product 23, Product 82",0.01,0.5,50.0
"Product 16, Product 46, Product 62",Product 52,0.01,1.0,50.0
"Product 16, Product 62","Product 46, Product 52",0.01,0.5,50.0
"Product 2, Product 27, Product 96",Product 5,0.01,1.0,50.0
Product 44,"Product 24, Product 93",0.01,0.5,50.0
"Product 58, Product 86",Product 44,0.01,1.0,50.0
Product 44,"Product 58, Product 86",0.01,0.5,50.0
"Product 86, Product 93",Product 44,0.01,1.0,50.0
Product 44,"Product 86, Product 93",0.01,0.5,50.0
"Product 35, Product 56","Product 3, Product 75",0.01,0.5,50.0
Product 75,"Product 3, Product 35, Product 56",0.01,0.5,50.0
Product 10,"Product 41, Product 56",0.01,0.5,50.0
"Product 46, Product 48, Product 62",Product 52,0.01,1.0,50.0
Product 5,"Product 2, Product 27, Product 96",0.01,0.5,50.0
"Product 78, Product 84","Product 33, Product 87",0.01,1.0,50.0
"Product 78, Product 87","Product 33, Product 84",0.01,1.0,50.0
"Product 33, Product 56",Product 91,0.01,1.0,50.0
"Product 65, Product 98",Product 20,0.01,1.0,50.0
Product 20,"Product 65, Product 98",0.01,0.5,50.0
"Product 33, Product 87","Product 56, Product 65, Product 91",0.01,0.5,50.0
"Product 16, Product 62","Product 46, Product 48",0.01,0.5,50.0
Product 88,"Product 27, Product 70, Product 81",0.01,0.5,50.0
Product 89,"Product 51, Product 78",0.01,0.5,50.0
"Product 71, Product 78",Product 43,0.01,1.0,50.0
Product 43,"Product 71, Product 78",0.01,0.5,50.0
"Product 51, Product 71",Product 43,0.01,1.0,50.0
"Product 43, Product 71",Product 89,0.01,1.0,50.0
"Product 71, Product 89",Product 43,0.01,1.0,50.0
Product 43,"Product 51, Product 71",0.01,0.5,50.0
Product 44,"Product 22, Product 23, Product 60",0.01,0.5,50.0
Product 52,"Product 16, Product 48, Product 62",0.01,0.5,50.0
"Product 16, Product 46, Product 48",Product 52,0.01,1.0,50.0
Product 91,"Product 33, Product 65",0.01,0.5,50.0
Product 91,"Product 33, Product 56",0.01,0.5,50.0
"Product 65, Product 87",Product 91,0.01,1.0,50.0
Product 91,"Product 65, Product 87",0.01,0.5,50.0
"Product 56, Product 65",Product 91,0.01,1.0,50.0
Product 91,"Product 56, Product 65",0.01,0.5,50.0
"Product 33, Product 65",Product 91,0.01,1.0,50.0
"Product 56, Product 87",Product 91,0.01,1.0,50.0
Product 91,"Product 56, Product 87",0.01,0.5,50.0
Product 44,"Product 24, Product 58",0.01,0.5,50.0
"Product 24, Product 86",Product 44,0.01,1.0,50.0
Product 44,"Product 24, Product 86",0.01,0.5,50.0
Product 89,"Product 51, Product 71",0.01,0.5,50.0
"Product 51, Product 71",Product 89,0.01,1.0,50.0
Product 43,"Product 78, Product 89",0.01,0.5,50.0
"Product 64, Product 77, Product 86",Product 55,0.01,1.0,50.0
Product 77,"Product 55, Product 64, Product 86",0.01,0.5,50.0
"Product 46, Product 48","Product 16, Product 62",0.01,1.0,50.0
Product 52,"Product 46, Product 48, Product 62",0.01,0.5,50.0
"Product 16, Product 48, Product 62",Product 52,0.01,1.0,50.0
"Product 15, Product 48","Product 57, Product 93",0.01,0.5,50.0
"Product 33, Product 84","Product 78, Product 87",0.01,0.5,50.0
"Product 33, Product 87","Product 78, Product 84",0.01,0.5,50.0
"Product 23, Product 57, Product 82",Product 30,0.01,1.0,50.0
Product 30,"Product 23, Product 57, Product 82",0.01,0.5,50.0
"Product 23, Product 57, Product 6",Product 30,0.01,1.0,50.0
Product 67,"Product 14, Product 31, Product 4",0.01,0.5,50.0
"Product 3, Product 58, Product 83",Product 59,0.01,1.0,50.0
Product 43,"Product 51, Product 71, Product 89",0.01,0.5,50.0
"Product 21, Product 87","Product 35, Product 64",0.01,1.0,50.0
"Product 35, Product 64","Product 21, Product 87",0.01,0.5,50.0
"Product 73, Product 78","Product 54, Product 82",0.01,1.0,50.0
"Product 24, Product 58",Product 44,0.01,1.0,50.0
"Product 24, Product 93",Product 44,0.01,1.0,50.0
Product 44,"Product 24, Product 86, Product 93",0.01,0.5,50.0
"Product 45, Product 58","Product 71, Product 73",0.01,0.5,50.0
"Product 71, Product 73","Product 45, Product 58",0.01,1.0,50.0
Product 45,"Product 58, Product 71, Product 73",0.01,0.5,50.0
"Product 25, Product 57","Product 49, Product 62",0.01,1.0,50.0
"Product 49, Product 62","Product 25, Product 57",0.01,0.5,50.0
Product 59,"Product 58, Product 83",0.01,0.5,50.0
"Product 3, Product 83",Product 59,0.01,1.0,50.0
Product 59,"Product 3, Product 83",0.01,0.5,50.0
Product 55,"Product 64, Product 77, Product 86",0.01,0.5,50.0
"Product 15, Product 48",Product 34,0.01,0.5,50.0
Product 45,"Product 58, Product 73",0.01,0.5,50.0
"Product 71, Product 73",Product 45,0.01,1.0,50.0
"Product 22, Product 36, Product 64",Product 88,0.01,1.0,50.0
"Product 12, Product 35","Product 33, Product 84",0.01,1.0,50.0
"Product 33, Product 84","Product 12, Product 35",0.01,0.5,50.0
Product 88,"Product 7, Product 70, Product 81",0.01,0.5,50.0
"Product 24, Product 86, Product 93",Product 44,0.01,1.0,50.0
"Product 58, Product 71",Product 45,0.01,1.0,50.0
Product 45,"Product 58, Product 71",0.01,0.5,50.0
"Product 58, Product 73",Product 45,0.01,1.0,50.0
Product 52,"Product 46, Product 62",0.01,0.5,50.0
"Product 33, Product 87","Product 58, Product 78",0.01,0.5,50.0
"Product 51, Product 78",Product 43,0.01,1.0,50.0
Product 43,"Product 51, Product 78",0.01,0.5,50.0
"Product 64, Product 86, Product 96",Product 77,0.01,1.0,50.0
"Product 77, Product 86","Product 64, Product 96",0.01,1.0,50.0
"Product 64, Product 96","Product 77, Product 86",0.01,0.5,50.0
Product 59,"Product 3, Product 58",0.01,0.5,50.0
"Product 58, Product 93",Product 44,0.01,1.0,50.0
Product 44,"Product 58, Product 93",0.01,0.5,50.0
"Product 58, Product 83",Product 59,0.01,1.0,50.0
"Product 14, Product 31, Product 4",Product 67,0.01,1.0,50.0
"Product 58, Product 84","Product 33, Product 87",0.01,1.0,50.0
"Product 58, Product 87","Product 33, Product 84",0.01,1.0,50.0
"Product 33, Product 84","Product 58, Product 87",0.01,0.5,50.0
"Product 33, Product 87","Product 58, Product 84",0.01,0.5,50.0
"Product 57, Product 93","Product 15, Product 48",0.01,1.0,50.0
"Product 55, Product 62",Product 43,0.01,1.0,50.0
Product 43,"Product 51, Product 78, Product 89",0.01,0.5,50.0
Product 89,"Product 43, Product 51, Product 78",0.01,0.5,50.0
"Product 54, Product 82","Product 73, Product 78",0.01,0.5,50.0
"Product 43, Product 51, Product 71",Product 89,0.01,1.0,50.0
"Product 51, Product 71, Product 89",Product 43,0.01,1.0,50.0
Product 55,"Product 16, Product 28, Product 43",0.01,0.5,50.0
Product 43,"Product 16, Product 28, Product 55",0.01,0.5,50.0
"Product 31, Product 4",Product 67,0.01,1.0,50.0
"Product 3, Product 58",Product 59,0.01,1.0,50.0
"Product 46, Product 62",Product 52,0.01,1.0,50.0
"Product 14, Product 4",Product 67,0.01,1.0,50.0
Product 67,"Product 14, Product 4",0.01,0.5,50.0
Product 95,"Product 24, Product 74",0.01,0.5,50.0
"Product 43, Product 62",Product 55,0.01,1.0,50.0
Product 45,"Product 71, Product 73",0.01,0.5,50.0
Product 55,"Product 43, Product 62",0.01,0.5,50.0
Product 43,"Product 55, Product 62",0.01,0.5,50.0
"Product 16, Product 55",Product 43,0.01,1.0,50.0
"Product 16, Product 43",Product 55,0.01,1.0,50.0
Product 55,"Product 16, Product 43",0.01,0.5,50.0
Product 43,"Product 16, Product 55",0.01,0.5,50.0
"Product 12, Product 33","Product 35, Product 7",0.01,1.0,50.0
"Product 58, Product 78","Product 33, Product 84",0.01,1.0,50.0
"Product 33, Product 84","Product 58, Product 78",0.01,0.5,50.0
"Product 58, Product 78","Product 33, Product 87",0.01,1.0,50.0
Product 43,"Product 28, Product 55",0.01,0.5,50.0
"Product 16, Product 46",Product 52,0.01,1.0,50.0
Product 52,"Product 16, Product 46",0.01,0.5,50.0
"Product 48, Product 62",Product 52,0.01,1.0,50.0
Product 88,"Product 27, Product 7, Product 70",0.01,0.5,50.0
Product 34,"Product 15, Product 48",0.01,1.0,50.0
Product 91,"Product 65, Product 73",0.01,0.5,50.0
"Product 16, Product 28, Product 43",Product 55,0.01,1.0,50.0
"Product 74, Product 78",Product 95,0.01,1.0,50.0
Product 95,"Product 74, Product 78",0.01,0.5,50.0
